userId,num_ratings,avg_rating,rating_std,num_movies
1,227,4.36,0.8,227
2,27,3.98,0.71,27
3,28,1.48,1.67,28
4,199,3.54,1.34,199
5,44,3.64,0.99,44
6,279,3.54,0.87,279
7,151,3.23,1.33,151
8,47,3.57,0.97,47
9,33,3.58,1.15,33
10,122,3.28,1.2,122
11,62,3.77,0.95,62
12,32,4.39,0.73,32
13,31,3.65,0.98,31
14,48,3.4,1.03,48
15,135,3.45,1.13,135
16,98,3.72,0.55,98
17,105,4.21,0.51,105
18,455,3.71,0.64,455
19,629,2.66,0.93,629
20,231,3.6,1.16,231
21,385,3.39,0.91,385
22,118,2.56,1.54,118
23,108,3.66,0.62,108
24,109,3.65,0.54,109
25,24,4.83,0.35,24
26,21,3.24,0.62,21
27,128,3.59,1.06,128
28,489,3.02,0.81,489
29,80,4.14,0.69,80
30,34,4.74,0.55,34
31,48,3.96,0.99,48
32,100,3.75,0.85,100
33,145,3.79,1.06,145
34,80,3.39,1.39,80
35,23,4.09,0.9,23
36,60,2.63,0.99,60
37,21,4.14,0.91,21
38,78,3.22,1.05,78
39,99,3.99,1.05,99
40,98,3.78,1.05,98
41,213,3.27,1.13,213
42,414,3.6,1.05,414
43,110,4.54,0.69,110
44,47,3.34,1.17,47
45,390,3.9,0.96,390
46,42,4.0,0.86,42
47,129,3.02,0.96,129
48,33,4.03,0.66,33
49,21,4.26,0.26,21
50,222,2.81,0.83,222
51,335,3.83,1.23,335
52,129,4.47,0.63,129
53,20,5.0,0.0,20
54,32,3.03,0.4,32
55,25,2.84,1.8,25
56,46,3.8,0.72,46
57,460,3.4,1.07,460
58,112,3.9,1.04,112
59,100,4.33,0.97,100
60,22,3.73,0.7,22
61,39,4.05,0.71,39
62,342,4.08,0.72,342
63,266,3.61,1.03,266
64,501,3.77,0.74,501
65,34,4.03,0.54,34
66,318,4.04,0.72,318
67,34,3.93,0.79,34
68,1170,3.25,0.89,1170
69,46,4.37,0.8,46
70,62,4.32,0.63,62
71,35,3.6,1.12,35
72,43,4.17,0.54,43
73,197,3.79,0.97,197
74,146,4.28,0.65,146
75,69,3.23,1.27,69
76,116,3.05,1.29,116
77,29,4.0,1.32,29
78,61,3.16,1.18,61
79,61,4.25,0.83,61
80,153,4.29,0.45,153
81,26,2.77,1.18,26
82,216,3.4,0.76,216
83,115,3.3,1.27,115
84,276,3.7,0.77,276
85,27,3.85,1.23,27
86,68,3.93,0.53,68
87,21,3.95,0.77,21
88,51,4.33,0.56,51
89,244,2.82,1.1,244
90,41,4.17,0.86,41
91,507,3.43,0.98,507
92,24,3.94,0.65,24
93,95,4.29,0.6,95
94,56,3.04,1.01,56
95,160,4.07,0.81,160
96,75,3.89,1.25,75
97,35,4.2,0.83,35
98,91,3.91,1.12,91
99,52,3.88,1.22,52
100,146,3.94,0.68,146
101,59,3.58,1.07,59
102,56,3.36,0.8,56
103,352,3.97,0.72,352
104,244,3.54,0.75,244
105,521,3.98,0.57,521
106,32,4.42,0.79,32
107,34,3.91,0.75,34
108,63,4.05,1.02,63
109,125,3.23,0.69,125
110,48,3.68,0.93,48
111,504,3.29,1.06,504
112,65,3.59,1.47,65
